row index,label,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP
row 0,1,"[0.0, 0.0]","[0.18598704040050507, -0.21393157541751862]","[0.32658225297927856, -0.5829614400863647]","[0.19435127079486847, -0.8545299172401428]","[-0.005177645478397608, -0.9464756846427917]","[0.16053350269794464, -1.0305267572402954]","[0.14452195167541504, -1.4505863189697266]","[0.11216608434915543, -1.6982568502426147]","[0.06637752801179886, -1.924513578414917]","[0.0, -1.0]","[0.06651255488395691, -1.1704397201538086]","[0.11731543391942978, -0.8636777997016907]","[0.10453756153583527, -0.7397884726524353]","[-0.1401536762714386, -0.9248453974723816]","[-0.08299260586500168, -1.0486259460449219]","[0.003175311489030719, -0.7470491528511047]","[0.005773361772298813, -0.6355238556861877]","[-0.28579673171043396, -0.8132185339927673]","[-0.24676400423049927, -0.9785521626472473]","[-0.1520407348871231, -0.7747735381126404]","[-0.1296916902065277, -0.6561419367790222]"
row 1,1,"[0.0, 0.0]","[0.23356935381889343, -0.21384333074092865]","[0.3950931131839752, -0.5876470804214478]","[0.28376778960227966, -0.8705323934555054]","[0.06851023435592651, -0.9696440100669861]","[0.16252611577510834, -1.031213641166687]","[0.12034808099269867, -1.485403299331665]","[0.09924795478582382, -1.754155158996582]","[0.06577281653881073, -1.992495059967041]","[0.0, -1.0]","[0.13928286731243134, -1.1911460161209106]","[0.19181138277053833, -0.8553804755210876]","[0.13425874710083008, -0.7599983811378479]","[-0.13777302205562592, -0.928992748260498]","[-0.010137601755559444, -1.065208077430725]","[0.05990538373589516, -0.7410895824432373]","[0.0077930656261742115, -0.6686748266220093]","[-0.2872612476348877, -0.824832558631897]","[-0.1678919792175293, -0.9581287503242493]","[-0.09296528995037079, -0.734785795211792]","[-0.13455572724342346, -0.655941367149353]"
row 2,1,"[0.0, 0.0]","[0.18350490927696228, -0.20793874561786652]","[0.27237412333488464, -0.5744367837905884]","[0.07790931314229965, -0.8094607591629028]","[-0.12591511011123657, -0.8755002021789551]","[0.17915813624858856, -1.0440975427627563]","[0.1267424076795578, -1.4992876052856445]","[0.05560395494103432, -1.7360808849334717]","[-0.021775437518954277, -1.943178653717041]","[0.0, -0.9999999403953552]","[-0.004951477516442537, -1.1062500476837158]","[0.044486645609140396, -0.8088693618774414]","[0.07403118908405304, -0.6873663663864136]","[-0.15793317556381226, -0.9172277450561523]","[-0.18540707230567932, -0.9858607649803162]","[-0.09545235335826874, -0.7052826881408691]","[-0.04439741000533104, -0.6204957962036133]","[-0.29894405603408813, -0.7969889640808105]","[-0.3379952609539032, -0.8850853443145752]","[-0.23918525874614716, -0.7035282850265503]","[-0.17754514515399933, -0.614504337310791]"
row 3,1,"[0.0, 0.0]","[0.24698036909103394, -0.2485271692276001]","[0.393121600151062, -0.6284242272377014]","[0.294938325881958, -0.9789971709251404]","[0.0969647467136383, -1.2045310735702515]","[0.16017867624759674, -1.0158838033676147]","[0.12606513500213623, -1.392319679260254]","[0.0694965198636055, -1.5526869297027588]","[-0.04161016270518303, -1.7218765020370483]","[0.0, -1.0]","[0.10818557441234589, -1.3502962589263916]","[0.21191932260990143, -1.1052944660186768]","[0.182428777217865, -1.0348362922668457]","[-0.1441015601158142, -0.94790118932724]","[-0.013127980753779411, -1.1827116012573242]","[0.07769101113080978, -0.8066763877868652]","[0.010815851390361786, -0.6632640957832336]","[-0.29593703150749207, -0.8642084002494812]","[-0.15776051580905914, -1.0808712244033813]","[-0.07000108808279037, -0.8355996012687683]","[-0.12796218693256378, -0.7147471308708191]"
row 4,1,"[0.0, 0.0]","[0.23453789949417114, -0.20839600265026093]","[0.4172820448875427, -0.48608145117759705]","[0.4100717306137085, -0.7364153265953064]","[0.25898632407188416, -0.8901345133781433]","[0.17609629034996033, -1.0353604555130005]","[0.1731291115283966, -1.4409540891647339]","[0.15763242542743683, -1.7017637491226196]","[0.12936748564243317, -1.9232947826385498]","[0.0, -1.0]","[0.2545130252838135, -1.0868771076202393]","[0.29485827684402466, -0.7808921337127686]","[0.22093337774276733, -0.6692748069763184]","[-0.13470801711082458, -0.9092603921890259]","[0.12053830176591873, -0.9362671971321106]","[0.1496148705482483, -0.6487325429916382]","[0.06878717988729477, -0.5611099004745483]","[-0.25553762912750244, -0.7802808880805969]","[-0.035750046372413635, -0.8396285176277161]","[0.013047292828559875, -0.6494910717010498]","[-0.05494374781847, -0.5740428566932678]"
row 5,1,"[0.0, 0.0]","[0.20160192251205444, -0.2103153020143509]","[0.3596418797969818, -0.5392466187477112]","[0.2572237551212311, -0.7994759678840637]","[0.0573265366256237, -0.8983437418937683]","[0.17541581392288208, -1.0265434980392456]","[0.1615070253610611, -1.4685431718826294]","[0.12113606184720993, -1.7279784679412842]","[0.06406137347221375, -1.956312656402588]","[0.0, -1.0]","[0.13103368878364563, -1.1089550256729126]","[0.14789538085460663, -0.8040310740470886]","[0.09661279618740082, -0.6989232301712036]","[-0.14788371324539185, -0.9185349345207214]","[-0.034409958869218826, -0.9613240361213684]","[0.007529150228947401, -0.6760578751564026]","[-0.02159186638891697, -0.6092550158500671]","[-0.29174456000328064, -0.8015877604484558]","[-0.1970093995332718, -0.8770662546157837]","[-0.13828152418136597, -0.6902793049812317]","[-0.15434829890727997, -0.6217671036720276]"
row 6,1,"[0.0, 0.0]","[0.19946633279323578, -0.18848387897014618]","[0.34966903924942017, -0.5102998614311218]","[0.22699905931949615, -0.7655218243598938]","[0.020961295813322067, -0.875249981880188]","[0.18529380857944489, -1.01323401927948]","[0.1775609701871872, -1.459197759628296]","[0.14854097366333008, -1.732939600944519]","[0.10884372144937515, -1.9740104675292969]","[0.0, -1.0]","[0.1266040951013565, -1.112873911857605]","[0.139674112200737, -0.7907313108444214]","[0.08805814385414124, -0.6769493222236633]","[-0.15397396683692932, -0.9252298474311829]","[-0.05388621985912323, -0.9633491635322571]","[-0.013055512681603432, -0.6602973341941833]","[-0.04435546696186066, -0.5933407545089722]","[-0.3047636151313782, -0.807775616645813]","[-0.2161562591791153, -0.8715323805809021]","[-0.1568068563938141, -0.668127179145813]","[-0.17966203391551971, -0.598166286945343]"
row 7,1,"[0.0, 0.0]","[0.19417241215705872, -0.1606774628162384]","[0.347540944814682, -0.447500616312027]","[0.2416524887084961, -0.7000182271003723]","[0.033118825405836105, -0.8288002610206604]","[0.19141966104507446, -0.997521698474884]","[0.21647846698760986, -1.4199044704437256]","[0.21626730263233185, -1.6955442428588867]","[0.1983376294374466, -1.9364309310913086]","[0.0, -1.0]","[0.15345384180545807, -1.0800217390060425]","[0.1665308177471161, -0.7391428351402283]","[0.10288535803556442, -0.6379611492156982]","[-0.1559072583913803, -0.9338697791099548]","[-0.027303054928779602, -0.9391725063323975]","[0.0114469975233078, -0.6189133524894714]","[-0.03755754232406616, -0.5541753768920898]","[-0.304490327835083, -0.8196285367012024]","[-0.19701924920082092, -0.8694297671318054]","[-0.12933984398841858, -0.650068998336792]","[-0.15363536775112152, -0.5718852281570435]"
row 8,1,"[0.0, 0.0]","[0.20720770955085754, -0.20762939751148224]","[0.3407087028026581, -0.5555493235588074]","[0.1824321299791336, -0.7761951088905334]","[-0.02840580604970455, -0.8367454409599304]","[0.181391641497612, -1.026334524154663]","[0.15856361389160156, -1.499675989151001]","[0.11182378232479095, -1.7815344333648682]","[0.06618494540452957, -2.0289604663848877]","[0.0, -1.0]","[0.07260144501924515, -1.0992406606674194]","[0.06990448385477066, -0.8135097622871399]","[0.051344264298677444, -0.6579290628433228]","[-0.1575435847043991, -0.9183072447776794]","[-0.11263138800859451, -0.9496610164642334]","[-0.08245552331209183, -0.6821472644805908]","[-0.07103931903839111, -0.580672025680542]","[-0.3016165494918823, -0.7993133664131165]","[-0.28608959913253784, -0.8652850389480591]","[-0.23672135174274445, -0.6981253623962402]","[-0.21619419753551483, -0.6073431372642517]"
row 9,1,"[0.0, 0.0]","[0.2201789766550064, -0.2111891508102417]","[0.4014725387096405, -0.46947160363197327]","[0.413776159286499, -0.6943835616111755]","[0.27811703085899353, -0.8088710904121399]","[0.1722165048122406, -1.0148786306381226]","[0.19894638657569885, -1.3858813047409058]","[0.20313777029514313, -1.6359421014785767]","[0.19715414941310883, -1.8519458770751953]","[0.0, -0.9999999403953552]","[0.2741260826587677, -1.0363832712173462]","[0.30337589979171753, -0.7490308880805969]","[0.23643721640110016, -0.6436258554458618]","[-0.12873752415180206, -0.904991626739502]","[0.1537395566701889, -0.8671719431877136]","[0.16594703495502472, -0.6059653759002686]","[0.09285362809896469, -0.531650960445404]","[-0.23602299392223358, -0.7610628008842468]","[-0.006173621863126755, -0.7533167600631714]","[0.028228674083948135, -0.5852821469306946]","[-0.03217175602912903, -0.5283298492431641]"
